,date,month,day,hour,min,disk,cpu_1,cpu_2,cpu_3,cpu_4,year,timestamp,time_diff,average
18,5,8,Mon,0,13,66.7,16.4,5.5,14.3,4.2,2019,2019-05-08 07:13:00,0 days 00:30:00,10.100000000000001
18,5,8,Mon,0,13,66.7,16.4,5.5,14.3,4.2,2019,2019-05-08 09:13:00,0 days 00:30:00,10.100000000000001
18,5,8,Mon,0,13,66.7,16.4,5.5,14.3,4.2,2019,2019-05-08 09:43:00,0 days 00:30:00,10.100000000000001
23,5,8,Mon,17,1,67.0,21.3,6.3,20.5,5.8,2019,2019-05-08 17:31:00,0 days 00:30:00,13.475
18,5,8,Mon,0,13,66.7,16.4,5.5,14.3,4.2,2019,2019-05-08 12:13:00,0 days 00:30:00,10.100000000000001
18,5,8,Mon,0,13,66.7,16.4,5.5,14.3,4.2,2019,2019-05-08 11:43:00,0 days 00:30:00,10.100000000000001
21,5,8,Mon,10,38,66.7,11.6,3.1,10.5,2.1,2019,2019-05-08 10:38:00,0 days 00:30:00,6.825
18,5,8,Mon,0,13,66.7,16.4,5.5,14.3,4.2,2019,2019-05-08 05:43:00,0 days 00:30:00,10.100000000000001
22,5,8,Mon,11,8,67.0,27.1,12.9,24.0,11.9,2019,2019-05-08 11:08:00,0 days 00:30:00,18.975
26,5,8,Mon,21,41,66.7,6.3,1.6,3.8,1.1,2019,2019-05-08 21:41:00,0 days 00:30:00,3.1999999999999997
27,5,8,Mon,22,11,66.7,5.3,1.2,2.9,0.7,2019,2019-05-08 22:11:00,0 days 00:30:00,2.525
18,5,8,Mon,0,13,66.7,16.4,5.5,14.3,4.2,2019,2019-05-08 11:13:00,0 days 00:30:00,10.100000000000001
18,5,8,Mon,0,13,66.7,16.4,5.5,14.3,4.2,2019,2019-05-08 10:43:00,0 days 00:30:00,10.100000000000001
18,5,8,Mon,0,13,66.7,16.4,5.5,14.3,4.2,2019,2019-05-08 10:13:00,0 days 00:30:00,10.100000000000001
18,5,8,Mon,0,13,66.7,16.4,5.5,14.3,4.2,2019,2019-05-08 08:43:00,0 days 00:30:00,10.100000000000001
18,5,8,Mon,0,13,66.7,16.4,5.5,14.3,4.2,2019,2019-05-08 08:13:00,0 days 00:30:00,10.100000000000001
18,5,8,Mon,0,13,66.7,16.4,5.5,14.3,4.2,2019,2019-05-08 06:13:00,0 days 00:30:00,10.100000000000001
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 12:22:00,0 days 00:30:00,6.1499999999999995
81,10,8,Sat,21,9,67.0,9.3,2.9,7.1,2.2,2019,2019-10-08 21:09:00,0 days 00:30:00,5.375
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 11:22:00,0 days 00:30:00,6.1499999999999995
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 10:52:00,0 days 00:30:00,6.1499999999999995
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 10:22:00,0 days 00:30:00,6.1499999999999995
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 09:52:00,0 days 00:30:00,6.1499999999999995
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 09:22:00,0 days 00:30:00,6.1499999999999995
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 08:52:00,0 days 00:30:00,6.1499999999999995
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 08:22:00,0 days 00:30:00,6.1499999999999995
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 07:52:00,0 days 00:30:00,6.1499999999999995
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 07:22:00,0 days 00:30:00,6.1499999999999995
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 06:52:00,0 days 00:30:00,6.1499999999999995
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 06:22:00,0 days 00:30:00,6.1499999999999995
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 05:52:00,0 days 00:30:00,6.1499999999999995
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 05:22:00,0 days 00:30:00,6.1499999999999995
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 04:52:00,0 days 00:30:00,6.1499999999999995
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 04:22:00,0 days 00:30:00,6.1499999999999995
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 03:52:00,0 days 00:30:00,6.1499999999999995
